,year,basic,quantity
2,1954,basic,24
3,1954,non basic,149
4,1955,basic,299
5,1955,non basic,739
6,1956,basic,16
7,1956,non basic,206
8,1957,basic,126
9,1957,non basic,769
10,1958,basic,476
11,1958,non basic,1396
12,1959,basic,2
13,1959,non basic,63
14,1960,basic,112
15,1960,non basic,414
16,1961,basic,279
17,1961,non basic,936
18,1962,basic,2350
19,1962,non basic,920
20,1963,basic,344
21,1963,non basic,256
22,1964,basic,414
23,1964,non basic,495
24,1965,basic,648
25,1965,non basic,423
26,1966,basic,1373
27,1966,non basic,2329
28,1967,basic,1048
29,1967,non basic,1023
30,1968,basic,1525
31,1968,non basic,1654
32,1969,basic,1783
33,1969,non basic,2675
34,1970,basic,1096
35,1970,non basic,1364
36,1971,basic,1166
37,1971,non basic,1844
38,1972,basic,2393
39,1972,non basic,1514
40,1973,basic,2646
41,1973,non basic,4383
42,1974,basic,1785
43,1974,non basic,2788
44,1975,basic,2735
45,1975,non basic,2078
46,1976,basic,4649
47,1976,non basic,5761
48,1977,basic,3946
49,1977,non basic,4502
50,1978,basic,5209
51,1978,non basic,5552
52,1979,basic,3644
53,1979,non basic,5025
54,1980,basic,4899
55,1980,non basic,6277
56,1981,basic,3318
57,1981,non basic,4025
58,1982,basic,1964
59,1982,non basic,3478
60,1983,basic,2806
61,1983,non basic,3823
62,1984,basic,2813
63,1984,non basic,4446
64,1985,basic,6947
65,1985,non basic,10064
66,1986,basic,5260
67,1986,non basic,8837
68,1987,basic,6037
69,1987,non basic,8645
70,1988,basic,3036
71,1988,non basic,6826
72,1989,basic,4123
73,1989,non basic,7610
74,1990,basic,7270
75,1990,non basic,10007
76,1991,basic,6574
77,1991,non basic,11138
78,1992,basic,4347
79,1992,non basic,9472
80,1993,basic,4749
81,1993,non basic,11826
82,1994,basic,5282
83,1994,non basic,12565
84,1995,basic,9004
85,1995,non basic,14162
86,1996,basic,10858
87,1996,non basic,18412
88,1997,basic,7790
89,1997,non basic,17514
90,1998,basic,19301
91,1998,non basic,26868
92,1999,basic,7796
93,1999,non basic,24271
94,2000,basic,10913
95,2000,non basic,23588
96,2001,basic,10858
97,2001,non basic,24823
98,2002,basic,15211
99,2002,non basic,36873
100,2003,basic,26497
101,2003,non basic,40449
102,2004,basic,18062
103,2004,non basic,34274
104,2005,basic,27040
105,2005,non basic,39125
106,2006,basic,20174
107,2006,non basic,50738
108,2007,basic,21103
109,2007,non basic,53059
110,2008,basic,22636
111,2008,non basic,59835
112,2009,basic,22095
113,2009,non basic,58791
114,2010,basic,27509
115,2010,non basic,67540
116,2011,basic,19916
117,2011,non basic,62290
118,2012,basic,23588
119,2012,non basic,70820
120,2013,basic,23927
121,2013,non basic,86820
122,2014,basic,27464
123,2014,non basic,97545
124,2015,basic,28879
125,2015,non basic,108975
126,2016,basic,38757
127,2016,non basic,116404
