,year,basic,non baisc
2,1954,0.13872832369942195,0.861271676300578
4,1955,0.13872832369942195,0.861271676300578
6,1956,0.13872832369942195,0.861271676300578
8,1957,0.13872832369942195,0.861271676300578
10,1958,0.13872832369942195,0.861271676300578
12,1959,0.13872832369942195,0.861271676300578
14,1960,0.13872832369942195,0.861271676300578
16,1961,0.13872832369942195,0.861271676300578
18,1962,0.13872832369942195,0.861271676300578
20,1963,0.13872832369942195,0.861271676300578
22,1964,0.13872832369942195,0.861271676300578
24,1965,0.13872832369942195,0.861271676300578
26,1966,0.13872832369942195,0.861271676300578
28,1967,0.13872832369942195,0.861271676300578
30,1968,0.13872832369942195,0.861271676300578
32,1969,0.13872832369942195,0.861271676300578
34,1970,0.13872832369942195,0.861271676300578
36,1971,0.13872832369942195,0.861271676300578
38,1972,0.13872832369942195,0.861271676300578
40,1973,0.13872832369942195,0.861271676300578
42,1974,0.13872832369942195,0.861271676300578
44,1975,0.13872832369942195,0.861271676300578
46,1976,0.13872832369942195,0.861271676300578
48,1977,0.13872832369942195,0.861271676300578
50,1978,0.13872832369942195,0.861271676300578
52,1979,0.13872832369942195,0.861271676300578
54,1980,0.13872832369942195,0.861271676300578
56,1981,0.13872832369942195,0.861271676300578
58,1982,0.13872832369942195,0.861271676300578
60,1983,0.13872832369942195,0.861271676300578
62,1984,0.13872832369942195,0.861271676300578
64,1985,0.13872832369942195,0.861271676300578
66,1986,0.13872832369942195,0.861271676300578
68,1987,0.13872832369942195,0.861271676300578
70,1988,0.13872832369942195,0.861271676300578
72,1989,0.13872832369942195,0.861271676300578
74,1990,0.13872832369942195,0.861271676300578
76,1991,0.13872832369942195,0.861271676300578
78,1992,0.13872832369942195,0.861271676300578
80,1993,0.13872832369942195,0.861271676300578
82,1994,0.13872832369942195,0.861271676300578
84,1995,0.13872832369942195,0.861271676300578
86,1996,0.13872832369942195,0.861271676300578
88,1997,0.13872832369942195,0.861271676300578
90,1998,0.13872832369942195,0.861271676300578
92,1999,0.13872832369942195,0.861271676300578
94,2000,0.13872832369942195,0.861271676300578
96,2001,0.13872832369942195,0.861271676300578
98,2002,0.13872832369942195,0.861271676300578
100,2003,0.13872832369942195,0.861271676300578
102,2004,0.13872832369942195,0.861271676300578
104,2005,0.13872832369942195,0.861271676300578
106,2006,0.13872832369942195,0.861271676300578
108,2007,0.13872832369942195,0.861271676300578
110,2008,0.13872832369942195,0.861271676300578
112,2009,0.13872832369942195,0.861271676300578
114,2010,0.13872832369942195,0.861271676300578
116,2011,0.13872832369942195,0.861271676300578
118,2012,0.13872832369942195,0.861271676300578
120,2013,0.13872832369942195,0.861271676300578
122,2014,0.13872832369942195,0.861271676300578
124,2015,0.13872832369942195,0.861271676300578
126,2016,0.13872832369942195,0.861271676300578
